7/5/2022,55.41,COSTCO WHSE #0218 STERLING VA,,Citibank Credit
7/5/2022,61.97,TRADER JOE'S #646 QPS RESTON VA,Groceries,Citibank Credit
7/3/2022,4.24,TACO BELL 738992 RESTON VA,Eating Out,Citibank Credit
7/3/2022,67.13,ROYAL FARMS #152 CHANTILLY VA,Car Stuff,Citibank Credit
7/2/2022,4.94,COSTCO WHSE #0205 GLEN ALLEN VA,Eating Out,Citibank Credit
7/2/2022,9.34,COOK OUT SHORT PUMP GLEN ALLEN VA,,Citibank Credit
7/2/2022,256.0,CLOCKTOWER ANIMAL HOSPITAHERNDON VA,,Citibank Credit
7/1/2022,85.0,CLOCKTOWER ANIMAL HOSPITA703-7131200 VA,,Citibank Credit
7/1/2022,41.67,PHO VIETFRESH HERNDON VA,,Citibank Credit
7/1/2022,10.0,GAMESTOP #5317 RESTON VA,,Citibank Credit
6/30/2022,33.69,TILLY KITCHEN CHANTILLY VA,,Citibank Credit
6/30/2022,11.13,GREENSBORO CAFE MCLEAN VA,,Citibank Credit
6/29/2022,6.39,TST* JENI'S SPLENDID ICE MCLEAN VA,,Citibank Credit
6/28/2022,1.1,USPS CHANGE OF ADDRESS 800-238-3150 TN,,Citibank Credit
6/28/2022,62.33,PETSMART # 1650 RESTON VA,,Citibank Credit
6/28/2022,14.84,MY HOME THAIEATSTREET 866-654-8777 WI,Eating Out,Citibank Credit
6/27/2022,9.99,SPOTIFY 877-778-1161 NY,Subscriptions,Citibank Credit
6/26/2022,5.18,McDonald's 12324 HERNDON VA,,Citibank Credit
6/26/2022,24.55,VA ABC STORE 170 HERNDON VA,,Citibank Credit
6/26/2022,77.74,EXXONMOBIL 47887906 RESTON VA,,Citibank Credit
6/26/2022,83.44,TRADER JOE'S #646 QPS RESTON VA,Groceries,Citibank Credit
6/25/2022,8.33,STATE FARM INSURANCE 800-956-6310 IL,Insurance,Citibank Credit
6/25/2022,55.32,TST* Choong Man Chicken -Fairfax VA,Eating Out,Citibank Credit
6/25/2022,21.19,MICRO CENTER FAIRFAX FAIRFAX VA,Video Games + Media,Citibank Credit
6/25/2022,26.17,TARGET 00027904 FAIRFAX VA,,Citibank Credit
6/23/2022,30.0,PARKSIDE BARBER SHOP AND GLEN ALLEN VA,Misc,Citibank Credit
6/22/2022,8.26,McDonald's 6345 BURKE VA,Eating Out,Citibank Credit
6/22/2022,30.04,TARGET 00010496 GLEN ALLEN VA,Video Games + Media,Citibank Credit
6/21/2022,9.99,CRUNCHYROLL *MEMBERSHI 415-503-9235 CA,Subscriptions,Citibank Credit
6/21/2022,12.12,WEBER'S PET SUPERMARKET- HERNDON VA,Cats,Citibank Credit
6/20/2022,43.44,MICRO CENTER FAIRFAX FAIRFAX VA,Video Games + Media,Citibank Credit
6/20/2022,9.21,TERIYAKI WAY MCLEAN VA,Eating Out,Citibank Credit
6/20/2022,15.9,Uniqlo USA LLC UNIQLO_US-MCCLEAN VA,Misc,Citibank Credit
6/20/2022,80.8,TRADER JOE'S #646 QPS RESTON VA,Groceries,Citibank Credit
6/20/2022,45.61,TARGET 00010884 RESTON VA,,Citibank Credit
6/20/2022,20.87,TST* LEI D POKE VIENNA VA,Eating Out,Citibank Credit
6/19/2022,5.3,TACO BELL 738992 RESTON VA,Eating Out,Citibank Credit
6/19/2022,65.69,ROYAL FARMS #152 CHANTILLY VA,Car Stuff,Citibank Credit
6/19/2022,327.18,COSTCO WHSE #0204 FAIRFAX VA,,Citibank Credit
6/19/2022,36.3,SQ *YOUNG DABANG Fairfax VA,Eating Out,Citibank Credit
6/18/2022,11.8,STARBUCKS STORE 10882 CULPEPER VA,Eating Out,Citibank Credit
6/18/2022,157.66,CVILLE ALB SPCA WWW.GOGOPHOTOVA,Cats,Citibank Credit
6/17/2022,10.36,THE HOME DEPOT #4641 RESTON VA,,Citibank Credit
6/17/2022,702.16,COSTCO WHSE #0204 FAIRFAX VA,,Citibank Credit
6/17/2022,6.7,TACO BELL #033491 QUINTON VA,Eating Out,Citibank Credit
6/17/2022,10.06,SQ *PITANGO TRE INC Reston VA,Eating Out,Citibank Credit
6/17/2022,200.76,BANGKOK GARDEN WILLIAMSBURG VA,Eating Out,Citibank Credit
6/16/2022,2.65,TARGET 00011031 NEWPORT NEWS VA,,Citibank Credit
6/16/2022,21.17,COSTCO WHSE #0247 NEWPORT NEWS VA,Video Games + Media,Citibank Credit
6/15/2022,16.97,TST* Chicken Fiesta - DowRichmond VA,Eating Out,Citibank Credit
6/15/2022,21.0,PEAK EXPERIENCES INC RICHMOND VA,Climbing,Citibank Credit
6/14/2022,3.91,COOK OUT EASTRIDGE RD HENRICO VA,Eating Out,Citibank Credit
6/14/2022,47.13,COSTCO GAS #0205 GLEN ALLEN VA,Groceries,Citibank Credit
6/14/2022,3.29,COSTCO WHSE #0205 GLEN ALLEN VA,Eating Out,Citibank Credit
6/14/2022,3.29,COSTCO WHSE #0205 GLEN ALLEN VA,Eating Out,Citibank Credit
6/14/2022,6.03,SQ *BRECOTEA Henrico VA,,Citibank Credit
6/13/2022,27.54,MICRO CENTER FAIRFAX FAIRFAX VA,Video Games + Media,Citibank Credit
6/13/2022,82.29,TARGET.COM * 800-591-3869 MN,,Citibank Credit
6/12/2022,34.0,NANDO S OF RESTON WEST LL202-697-5222 VA,Eating Out,Citibank Credit
6/12/2022,31.8,THE ZONE BALTIMORE MD,Eating Out,Citibank Credit
6/11/2022,5.7,STORM BROS. ICE CREAM FA ANNAPOLIS MD,Eating Out,Citibank Credit
6/11/2022,169.59,TST* Middleton Tavern Annapolis MD,Eating Out,Citibank Credit
6/11/2022,22.74,DOMINO'S 9351 734-930-3030 MD,Eating Out,Citibank Credit
6/11/2022,110.0,WATERMARK ANNAPOLIS ANNAPOLIS MD,Misc,Citibank Credit
6/11/2022,8.71,THE WINE SOURCE BALTIMORE MD,Eating Out,Citibank Credit
6/11/2022,28.8,THE BLUEBIRD COCKTAIL ROOBALTIMORE MD,Eating Out,Citibank Credit
6/11/2022,12.71,LOU LOU ANNAPOLIS ANNAPOLIS MD,Misc,Citibank Credit
6/11/2022,9.48,THE BLUEBIRD COCKTAIL ROOBALTIMORE MD,Eating Out,Citibank Credit
6/11/2022,4.83,UNCLE BOBS FUDGE KITCHEN ANNAPOLIS MD,Eating Out,Citibank Credit
6/11/2022,13.1,TST* THE FOOD MARKET BALTIMORE MD,Eating Out,Citibank Credit
6/10/2022,15.31,BROWN RICE KOREAN GRILL BALTIMORE MD,Eating Out,Citibank Credit
6/10/2022,29.68,SQ *TIGERLILLYSHOP RETAILBaltimore MD,Misc,Citibank Credit
6/10/2022,20.0,METRO FARE AUTOLOAD 202-962-5711 DC,Car Stuff,Citibank Credit
6/10/2022,10.0,METRO 118-WIEHLE-RESTON ERESTON VA,Car Stuff,Citibank Credit
6/10/2022,32.86,MY HOME THAIEATSTREET 866-654-8777 WI,Eating Out,Citibank Credit
6/9/2022,76.93,COSTCO GAS #0205 GLEN ALLEN VA,Groceries,Citibank Credit
6/9/2022,6.58,COSTCO WHSE #0205 GLEN ALLEN VA,Eating Out,Citibank Credit
6/9/2022,9.49,IKEA WASHINGTON REST WOODBRIDGE VA,Eating Out,Citibank Credit
6/8/2022,38.14,BEAUVINE BURGER CONCEPT RICHMOND VA,Eating Out,Citibank Credit
